City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,cukai,4.25,103.4167,26.67,85,97,0.97,MY,1667296936
352,blackwater,-23.5833,148.8833,24.43,29,28,7.62,AU,1667296674
353,kamen-rybolov,44.7481,132.0403,4.24,41,0,5.35,RU,1667296937
354,epe,6.5841,3.9834,31.62,59,99,0.59,NG,1667296938
355,puerto escondido,15.85,-97.0667,24.73,81,0,1.71,MX,1667296939
356,khatanga,71.9667,102.5,-5.68,79,100,6.5,RU,1667296940
357,aripuana,-9.1667,-60.6333,20.27,97,100,3.43,BR,1667296941
358,mutis,6.2262,-77.4044,24.38,87,71,1.02,CO,1667296941
359,kununurra,-15.7667,128.7333,33.99,21,75,2.06,AU,1667296890
360,salinopolis,-0.6136,-47.3561,27.65,77,100,5.2,BR,1667296943
361,bequimao,-2.4489,-44.7825,26.28,83,100,2.0,BR,1667296944
362,grand gaube,-20.0064,57.6608,26.88,59,1,3.58,MU,1667296944
363,norton shores,43.1689,-86.2639,12.1,94,100,3.09,US,1667296945
364,gigmoto,13.7796,124.39,27.54,84,94,3.16,PH,1667296946
365,huambo,-12.7761,15.7392,24.06,56,85,2.05,AO,1667296947
